ensembl_id_mouse	gene_symbol	HGNC_symbol	ensembl_id_human	description
ENSMUSG00000094511	Gm21693	RBMY1B	ENSG00000242875	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000094511	Gm21693	RBMY1A1	ENSG00000234414	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000094511	Gm21693	RBMY1D	ENSG00000244395	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000094511	Gm21693	RBMY1E	ENSG00000242389	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000094511	Gm21693	RBMY1F	ENSG00000169800	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000094511	Gm21693	RBMY1J	ENSG00000226941	predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]
ENSMUSG00000025246	Tbl1x	TBL1Y	ENSG00000092377	transducin (beta)-like 1 X-linked [Source:MGI Symbol;Acc:MGI:1336172]
ENSMUSG00000093847	Gm5039	EIF1AY	ENSG00000198692	predicted gene 5039 [Source:MGI Symbol;Acc:MGI:3648085]
ENSMUSG00000079509	Zfx	ZFY	ENSG00000067646	zinc finger protein X-linked [Source:MGI Symbol;Acc:MGI:99211]
ENSMUSG00000095717	Gm2056	EIF1AY	ENSG00000198692	predicted gene 2056 [Source:MGI Symbol;Acc:MGI:3780224]
ENSMUSG00000079029	Gm5662	EIF1AY	ENSG00000198692	predicted gene 5662 [Source:MGI Symbol;Acc:MGI:3648257]
ENSMUSG00000095948	Gm21708	RBMY1B	ENSG00000242875	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000095948	Gm21708	RBMY1A1	ENSG00000234414	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000095948	Gm21708	RBMY1D	ENSG00000244395	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000095948	Gm21708	RBMY1E	ENSG00000242389	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000095948	Gm21708	RBMY1F	ENSG00000169800	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000095948	Gm21708	RBMY1J	ENSG00000226941	predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]
ENSMUSG00000096619	Gm2035	EIF1AY	ENSG00000198692	predicted pseudogene 2035 [Source:MGI Symbol;Acc:MGI:3780204]
ENSMUSG00000010592	Dazl	DAZ1	ENSG00000188120	deleted in azoospermia-like [Source:MGI Symbol;Acc:MGI:1342328]
ENSMUSG00000010592	Dazl	DAZ2	ENSG00000205944	deleted in azoospermia-like [Source:MGI Symbol;Acc:MGI:1342328]
ENSMUSG00000010592	Dazl	DAZ3	ENSG00000187191	deleted in azoospermia-like [Source:MGI Symbol;Acc:MGI:1342328]
ENSMUSG00000010592	Dazl	DAZ4	ENSG00000205916	deleted in azoospermia-like [Source:MGI Symbol;Acc:MGI:1342328]
ENSMUSG00000079031	BB287469	EIF1AY	ENSG00000198692	expressed sequence BB287469 [Source:MGI Symbol;Acc:MGI:3034635]
ENSMUSG00000045336	Hsfy2	HSFY1	ENSG00000172468	heat shock transcription factor, Y-linked 2 [Source:MGI Symbol;Acc:MGI:1918316]
ENSMUSG00000045336	Hsfy2	HSFY2	ENSG00000169953	heat shock transcription factor, Y-linked 2 [Source:MGI Symbol;Acc:MGI:1918316]
ENSMUSG00000095724	Gm21319	EIF1AY	ENSG00000198692	predicted gene, 21319 [Source:MGI Symbol;Acc:MGI:5434674]
ENSMUSG00000096049	Gm2075	EIF1AY	ENSG00000198692	predicted gene 2075 [Source:MGI Symbol;Acc:MGI:3780242]
ENSMUSG00000092019	Gm4027	EIF1AY	ENSG00000198692	predicted gene 4027 [Source:MGI Symbol;Acc:MGI:3782201]
ENSMUSG00000069036	Sry	SRY	ENSG00000184895	sex determining region of Chr Y [Source:MGI Symbol;Acc:MGI:98660]
ENSMUSG00000079034	Gm8300	EIF1AY	ENSG00000198692	predicted gene 8300 [Source:MGI Symbol;Acc:MGI:3643794]
ENSMUSG00000068457	Uty	UTY	ENSG00000183878	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810]
ENSMUSG00000072905	Gm2016	EIF1AY	ENSG00000198692	predicted gene 2016 [Source:MGI Symbol;Acc:MGI:3780185]
ENSMUSG00000100133	Tgif2lx1	TGIF2LY	ENSG00000176679	TGFB-induced factor homeobox 2-like, X-linked 1 [Source:MGI Symbol;Acc:MGI:2387796]
ENSMUSG00000034755	Pcdh11x	PCDH11Y	ENSG00000099715	protocadherin 11 X-linked [Source:MGI Symbol;Acc:MGI:2442849]
ENSMUSG00000069045	Ddx3y	DDX3Y	ENSG00000067048	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]
ENSMUSG00000113201	Gm21936	EIF1AY	ENSG00000198692	predicted gene, 21936 [Source:MGI Symbol;Acc:MGI:5439387]
ENSMUSG00000093918	Gm21677	RBMY1B	ENSG00000242875	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000093918	Gm21677	RBMY1A1	ENSG00000234414	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000093918	Gm21677	RBMY1D	ENSG00000244395	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000093918	Gm21677	RBMY1E	ENSG00000242389	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000093918	Gm21677	RBMY1F	ENSG00000169800	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000093918	Gm21677	RBMY1J	ENSG00000226941	predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]
ENSMUSG00000091987	Gm10352	RBMY1B	ENSG00000242875	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000091987	Gm10352	RBMY1A1	ENSG00000234414	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000091987	Gm10352	RBMY1D	ENSG00000244395	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000091987	Gm10352	RBMY1E	ENSG00000242389	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000091987	Gm10352	RBMY1F	ENSG00000169800	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000091987	Gm10352	RBMY1J	ENSG00000226941	predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825]
ENSMUSG00000094658	Rbmy	RBMY1B	ENSG00000242875	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000094658	Rbmy	RBMY1A1	ENSG00000234414	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000094658	Rbmy	RBMY1D	ENSG00000244395	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000094658	Rbmy	RBMY1E	ENSG00000242389	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000094658	Rbmy	RBMY1F	ENSG00000169800	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000094658	Rbmy	RBMY1J	ENSG00000226941	RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]
ENSMUSG00000095852	Gm10256	RBMY1B	ENSG00000242875	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000095852	Gm10256	RBMY1A1	ENSG00000234414	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000095852	Gm10256	RBMY1D	ENSG00000244395	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000095852	Gm10256	RBMY1E	ENSG00000242389	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000095852	Gm10256	RBMY1F	ENSG00000169800	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000095852	Gm10256	RBMY1J	ENSG00000226941	predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530]
ENSMUSG00000101667	Gm29289	RBMY1B	ENSG00000242875	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000101667	Gm29289	RBMY1A1	ENSG00000234414	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000101667	Gm29289	RBMY1D	ENSG00000244395	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000101667	Gm29289	RBMY1E	ENSG00000242389	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000101667	Gm29289	RBMY1F	ENSG00000169800	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000101667	Gm29289	RBMY1J	ENSG00000226941	predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995]
ENSMUSG00000057561	Eif1a	EIF1AY	ENSG00000198692	eukaryotic translation initiation factor 1A [Source:MGI Symbol;Acc:MGI:95298]
ENSMUSG00000035725	Prkx	PRKY	ENSG00000099725	protein kinase, X-linked [Source:MGI Symbol;Acc:MGI:1309999]
ENSMUSG00000096520	Gm3376	RBMY1B	ENSG00000242875	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096520	Gm3376	RBMY1A1	ENSG00000234414	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096520	Gm3376	RBMY1D	ENSG00000244395	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096520	Gm3376	RBMY1E	ENSG00000242389	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096520	Gm3376	RBMY1F	ENSG00000169800	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096520	Gm3376	RBMY1J	ENSG00000226941	predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554]
ENSMUSG00000096803	Gm6803	EIF1AY	ENSG00000198692	predicted gene 6803 [Source:MGI Symbol;Acc:MGI:3779631]
ENSMUSG00000093987	Gm21704	RBMY1B	ENSG00000242875	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000093987	Gm21704	RBMY1A1	ENSG00000234414	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000093987	Gm21704	RBMY1D	ENSG00000244395	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000093987	Gm21704	RBMY1E	ENSG00000242389	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000093987	Gm21704	RBMY1F	ENSG00000169800	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000093987	Gm21704	RBMY1J	ENSG00000226941	predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]
ENSMUSG00000021929	Kpna3	KPNA3	ENSG00000102753	karyopherin (importin) alpha 3 [Source:MGI Symbol;Acc:MGI:1100863]
ENSMUSG00000027330	Cdc25b	CDC25B	ENSG00000101224	cell division cycle 25B [Source:MGI Symbol;Acc:MGI:99701]
ENSMUSG00000009876	Cox4i2	COX4I2	ENSG00000131055	cytochrome c oxidase subunit 4I2 [Source:MGI Symbol;Acc:MGI:2135755]
ENSMUSG00000093804	Olfr1303	OR4F21	ENSG00000176269	olfactory receptor 1303 [Source:MGI Symbol;Acc:MGI:3031137]
ENSMUSG00000074676	Foxs1	FOXS1	ENSG00000179772	forkhead box S1 [Source:MGI Symbol;Acc:MGI:95546]
ENSMUSG00000033318	Gstt2	GSTT2B	ENSG00000133433	glutathione S-transferase, theta 2 [Source:MGI Symbol;Acc:MGI:106188]
ENSMUSG00000033318	Gstt2	GSTT2	ENSG00000099984	glutathione S-transferase, theta 2 [Source:MGI Symbol;Acc:MGI:106188]
ENSMUSG00000021967	Mrpl57	MRPL57	ENSG00000173141	mitochondrial ribosomal protein L57 [Source:MGI Symbol;Acc:MGI:1915090]
ENSMUSG00000023147	Get1	GET1	ENSG00000182093	guided entry of tail-anchored proteins factor 1 [Source:MGI Symbol;Acc:MGI:2136882]
ENSMUSG00000060126	Tpt1	TPT1	ENSG00000133112	tumor protein, translationally-controlled 1 [Source:MGI Symbol;Acc:MGI:104890]
ENSMUSG00000025555	Farp1	FARP1	ENSG00000152767	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) [Source:MGI Symbol;Acc:MGI:2446173]
ENSMUSG00000033128	Gga1	GGA1	ENSG00000100083	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:MGI Symbol;Acc:MGI:2146207]
ENSMUSG00000024294	Mib1	MIB1	ENSG00000101752	mindbomb E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2443157]
ENSMUSG00000048911	Rnf24	RNF24	ENSG00000101236	ring finger protein 24 [Source:MGI Symbol;Acc:MGI:1261771]
ENSMUSG00000024256	Adcyap1	ADCYAP1	ENSG00000141433	adenylate cyclase activating polypeptide 1 [Source:MGI Symbol;Acc:MGI:105094]
ENSMUSG00000024589	Nedd4l	NEDD4L	ENSG00000049759	neural precursor cell expressed, developmentally down-regulated gene 4-like [Source:MGI Symbol;Acc:MGI:1933754]
ENSMUSG00000034997	Htr2a	HTR2A	ENSG00000102468	5-hydroxytryptamine (serotonin) receptor 2A [Source:MGI Symbol;Acc:MGI:109521]
ENSMUSG00000022119	Rbm26	RBM26	ENSG00000139746	RNA binding motif protein 26 [Source:MGI Symbol;Acc:MGI:1921463]
ENSMUSG00000000759	Tubgcp3	TUBGCP3	ENSG00000126216	tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]
ENSMUSG00000027481	Bpifb2	BPIFB2	ENSG00000078898	BPI fold containing family B, member 2 [Source:MGI Symbol;Acc:MGI:1913807]
ENSMUSG00000024413	Npc1	NPC1	ENSG00000141458	NPC intracellular cholesterol transporter 1 [Source:MGI Symbol;Acc:MGI:1097712]
ENSMUSG00000025616	Usp16	USP16	ENSG00000156256	ubiquitin specific peptidase 16 [Source:MGI Symbol;Acc:MGI:1921362]
ENSMUSG00000016942	Tmprss6	TMPRSS6	ENSG00000187045	transmembrane serine protease 6 [Source:MGI Symbol;Acc:MGI:1919003]
ENSMUSG00000039830	Olig2	OLIG2	ENSG00000205927	oligodendrocyte transcription factor 2 [Source:MGI Symbol;Acc:MGI:1355331]
ENSMUSG00000022721	Trmt2a	TRMT2A	ENSG00000099899	TRM2 tRNA methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96270]
ENSMUSG00000031480	Thsd1	THSD1	ENSG00000136114	thrombospondin, type I, domain 1 [Source:MGI Symbol;Acc:MGI:1929096]
ENSMUSG00000027445	Cst9	CST9L	ENSG00000101435	cystatin 9 [Source:MGI Symbol;Acc:MGI:1340053]
ENSMUSG00000020265	Sumo3	SUMO3	ENSG00000184900	small ubiquitin-like modifier 3 [Source:MGI Symbol;Acc:MGI:1336201]
ENSMUSG00000025428	Atp5a1	ATP5F1A	ENSG00000152234	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 [Source:MGI Symbol;Acc:MGI:88115]
ENSMUSG00000022436	Sh3bp1	SH3BP1	ENSG00000100092	SH3-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:104603]
ENSMUSG00000114797	Gm49336	NUP58	ENSG00000139496	predicted gene, 49336 [Source:MGI Symbol;Acc:MGI:6121524]
ENSMUSG00000027424	Mgme1	MGME1	ENSG00000125871	mitochondrial genome maintenance exonuclease 1 [Source:MGI Symbol;Acc:MGI:1921778]
ENSMUSG00000031503	Col4a2	COL4A2	ENSG00000134871	collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]
ENSMUSG00000071715	Ncf4	NCF4	ENSG00000100365	neutrophil cytosolic factor 4 [Source:MGI Symbol;Acc:MGI:109186]
ENSMUSG00000051652	Lrrc3	LRRC3	ENSG00000160233	leucine rich repeat containing 3 [Source:MGI Symbol;Acc:MGI:2447899]
ENSMUSG00000022021	Diaph3	DIAPH3	ENSG00000139734	diaphanous related formin 3 [Source:MGI Symbol;Acc:MGI:1927222]
ENSMUSG00000055177	Cstl1	CSTL1	ENSG00000125823	cystatin-like 1 [Source:MGI Symbol;Acc:MGI:2652834]
ENSMUSG00000050052	Tdrp	TDRP	ENSG00000180190	testis development related protein [Source:MGI Symbol;Acc:MGI:1919398]
ENSMUSG00000048490	Nrip1	NRIP1	ENSG00000180530	nuclear receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1315213]
ENSMUSG00000050017	Pitpnb	PITPNB	ENSG00000180957	phosphatidylinositol transfer protein, beta [Source:MGI Symbol;Acc:MGI:1927542]
ENSMUSG00000046962	Zbtb21	ZBTB21	ENSG00000173276	zinc finger and BTB domain containing 21 [Source:MGI Symbol;Acc:MGI:1927240]
ENSMUSG00000043460	Elfn2	ELFN2	ENSG00000166897	leucine rich repeat and fibronectin type III, extracellular 2 [Source:MGI Symbol;Acc:MGI:3608416]
ENSMUSG00000054160	Nkx2-4	NKX2-4	ENSG00000125816	NK2 homeobox 4 [Source:MGI Symbol;Acc:MGI:97349]
ENSMUSG00000044461	Shisa2	SHISA2	ENSG00000180730	shisa family member 2 [Source:MGI Symbol;Acc:MGI:2444716]
ENSMUSG00000022762	Ncam2	NCAM2	ENSG00000154654	neural cell adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:97282]
ENSMUSG00000024558	Mapk4	MAPK4	ENSG00000141639	mitogen-activated protein kinase 4 [Source:MGI Symbol;Acc:MGI:2444559]
ENSMUSG00000051586	Mical3	MICAL3	ENSG00000243156	microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:MGI Symbol;Acc:MGI:2442733]
ENSMUSG00000074824	Rslcan18	ZNF519	ENSG00000175322	regulator of sex-limitation candidate 18 [Source:MGI Symbol;Acc:MGI:5433745]
ENSMUSG00000027635	Dsn1	DSN1	ENSG00000149636	DSN1 homolog, MIS12 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914184]
ENSMUSG00000027276	Jag1	JAG1	ENSG00000101384	jagged 1 [Source:MGI Symbol;Acc:MGI:1095416]
ENSMUSG00000045871	Slitrk6	SLITRK6	ENSG00000184564	SLIT and NTRK-like family, member 6 [Source:MGI Symbol;Acc:MGI:2443198]
ENSMUSG00000071632	2510002D24Rik	C22orf39	ENSG00000242259	RIKEN cDNA 2510002D24 gene [Source:MGI Symbol;Acc:MGI:1919557]
ENSMUSG00000027480	Sun5	SUN5	ENSG00000167098	Sad1 and UNC84 domain containing 5 [Source:MGI Symbol;Acc:MGI:1923657]
ENSMUSG00000027463	Slc52a3	SLC52A3	ENSG00000101276	solute carrier protein family 52, member 3 [Source:MGI Symbol;Acc:MGI:1916948]
ENSMUSG00000031445	Proz	PROZ	ENSG00000126231	protein Z, vitamin K-dependent plasma glycoprotein [Source:MGI Symbol;Acc:MGI:1860488]
ENSMUSG00000022132	Cldn10	CLDN10	ENSG00000134873	claudin 10 [Source:MGI Symbol;Acc:MGI:1913101]
ENSMUSG00000116594	Gm49601	SEPTIN5	ENSG00000184702	predicted gene, 49601 [Source:MGI Symbol;Acc:MGI:6215011]
ENSMUSG00000090777	Ccdc188	CCDC188	ENSG00000234409	coiled-coil domain containing 188 [Source:MGI Symbol;Acc:MGI:3647803]
ENSMUSG00000009097	Tbx1	TBX1	ENSG00000184058	T-box 1 [Source:MGI Symbol;Acc:MGI:98493]
ENSMUSG00000047459	Dynlrb1	DYNLRB1	ENSG00000125971	dynein light chain roadblock-type 1 [Source:MGI Symbol;Acc:MGI:1914318]
ENSMUSG00000075702	Selenom	SELENOM	ENSG00000198832	selenoprotein M [Source:MGI Symbol;Acc:MGI:2149786]
ENSMUSG00000068015	Lrch1	LRCH1	ENSG00000136141	leucine-rich repeats and calponin homology (CH) domain containing 1 [Source:MGI Symbol;Acc:MGI:2443390]
ENSMUSG00000038467	Chmp4b	CHMP4B	ENSG00000101421	charged multivesicular body protein 4B [Source:MGI Symbol;Acc:MGI:1922858]
ENSMUSG00000079608	Stard6	STARD6	ENSG00000174448	StAR-related lipid transfer (START) domain containing 6 [Source:MGI Symbol;Acc:MGI:2156774]
ENSMUSG00000043501	Lgals2	LGALS2	ENSG00000100079	lectin, galactose-binding, soluble 2 [Source:MGI Symbol;Acc:MGI:895068]
ENSMUSG00000074682	Zcchc3	ZCCHC3	ENSG00000247315	zinc finger, CCHC domain containing 3 [Source:MGI Symbol;Acc:MGI:1915167]
ENSMUSG00000024526	Cidea	CIDEA	ENSG00000176194	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A [Source:MGI Symbol;Acc:MGI:1270845]
ENSMUSG00000094913	Gm9507	KRTAP10-4	ENSG00000215454	predicted gene 9507 [Source:MGI Symbol;Acc:MGI:3779917]
ENSMUSG00000094913	Gm9507	KRTAP10-6	ENSG00000188155	predicted gene 9507 [Source:MGI Symbol;Acc:MGI:3779917]
ENSMUSG00000094913	Gm9507	KRTAP10-9	ENSG00000221837	predicted gene 9507 [Source:MGI Symbol;Acc:MGI:3779917]
ENSMUSG00000094913	Gm9507	KRTAP10-11	ENSG00000243489	predicted gene 9507 [Source:MGI Symbol;Acc:MGI:3779917]
ENSMUSG00000031481	Tpte	TPTE2	ENSG00000132958	transmembrane phosphatase with tensin homology [Source:MGI Symbol;Acc:MGI:2446460]
ENSMUSG00000031481	Tpte	TPTE	ENSG00000274391	transmembrane phosphatase with tensin homology [Source:MGI Symbol;Acc:MGI:2446460]
ENSMUSG00000037034	Pax1	PAX1	ENSG00000125813	paired box 1 [Source:MGI Symbol;Acc:MGI:97485]
ENSMUSG00000059280	Vpreb2	VPREB1	ENSG00000169575	pre-B lymphocyte gene 2 [Source:MGI Symbol;Acc:MGI:98937]
ENSMUSG00000002129	Sf3a1	SF3A1	ENSG00000099995	splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]
ENSMUSG00000096131	Gm9639	KRTAP10-4	ENSG00000215454	predicted gene 9639 [Source:MGI Symbol;Acc:MGI:3780046]
ENSMUSG00000096131	Gm9639	KRTAP10-6	ENSG00000188155	predicted gene 9639 [Source:MGI Symbol;Acc:MGI:3780046]
ENSMUSG00000096131	Gm9639	KRTAP10-9	ENSG00000221837	predicted gene 9639 [Source:MGI Symbol;Acc:MGI:3780046]
ENSMUSG00000096131	Gm9639	KRTAP10-11	ENSG00000243489	predicted gene 9639 [Source:MGI Symbol;Acc:MGI:3780046]
ENSMUSG00000009681	Bcr	BCR	ENSG00000186716	BCR activator of RhoGEF and GTPase [Source:MGI Symbol;Acc:MGI:88141]
ENSMUSG00000021986	Amer2	AMER2	ENSG00000165566	APC membrane recruitment 2 [Source:MGI Symbol;Acc:MGI:1919375]
ENSMUSG00000040396	Abhd13	ABHD13	ENSG00000139826	abhydrolase domain containing 13 [Source:MGI Symbol;Acc:MGI:1916154]
ENSMUSG00000022020	Naa16	NAA16	ENSG00000172766	N(alpha)-acetyltransferase 16, NatA auxiliary subunit [Source:MGI Symbol;Acc:MGI:1914147]
ENSMUSG00000034201	Gas2l1	GAS2L1	ENSG00000185340	growth arrest-specific 2 like 1 [Source:MGI Symbol;Acc:MGI:1926176]
