Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
CAMP	820	GO:0001530;lipopolysaccharide binding	GO:0002227;innate immune response in mucosa|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0042742;defense response to bacterium|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0051873;killing by host of symbiont cells|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0035580;specific granule lumen|GO:0042581;specific granule|GO:0070062;extracellular exosome|GO:1904724;tertiary granule lumen	Component
DEFB4A	1673	GO:0005515;protein binding|GO:0031731;CCR6 chemokine receptor binding|GO:0031731;CCR6 chemokine receptor binding|GO:0042056;chemoattractant activity	GO:0006935;chemotaxis|GO:0006935;chemotaxis|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0019730;antimicrobial humoral response|GO:0031640;killing of cells of other organism|GO:0031640;killing of cells of other organism|GO:0042742;defense response to bacterium|GO:0042742;defense response to bacterium|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050918;positive chemotaxis|GO:0060326;cell chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005796;Golgi lumen	Process
PPBP	5473	GO:0005355;glucose transmembrane transporter activity|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008083;growth factor activity|GO:0045236;CXCR chemokine receptor binding	GO:0002576;platelet degranulation|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0042742;defense response to bacterium|GO:0043312;neutrophil degranulation|GO:0051781;positive regulation of cell division|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:1904659;glucose transmembrane transport	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0031093;platelet alpha granule lumen|GO:1904724;tertiary granule lumen	Component
REG3G	130120	GO:0038023;signaling receptor activity|GO:0042834;peptidoglycan binding|GO:0042834;peptidoglycan binding|GO:0070492;oligosaccharide binding|GO:0070492;oligosaccharide binding	GO:0002755;MyD88-dependent toll-like receptor signaling pathway|GO:0006953;acute-phase response|GO:0008284;positive regulation of cell proliferation|GO:0010838;positive regulation of keratinocyte proliferation|GO:0019730;antimicrobial humoral response|GO:0043434;response to peptide hormone|GO:0044278;cell wall disruption in other organism|GO:0044278;cell wall disruption in other organism|GO:0045617;negative regulation of keratinocyte differentiation|GO:0050830;defense response to Gram-positive bacterium|GO:0051838;cytolysis by host of symbiont cells|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0090303;positive regulation of wound healing	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005737;cytoplasm	Process
CXCL14	9547	GO:0005515;protein binding|GO:0008009;chemokine activity	GO:0006935;chemotaxis|GO:0007165;signal transduction|GO:0007267;cell-cell signaling|GO:0045662;negative regulation of myoblast differentiation|GO:0048839;inner ear development|GO:0060326;cell chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:2000503;positive regulation of natural killer cell chemotaxis	GO:0005615;extracellular space|GO:0005794;Golgi apparatus	Process
CXCL16	58191	GO:0005041;low-density lipoprotein particle receptor activity|GO:0005041;low-density lipoprotein particle receptor activity|GO:0005044;scavenger receptor activity|GO:0005044;scavenger receptor activity|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008009;chemokine activity	GO:0006898;receptor-mediated endocytosis|GO:0006935;chemotaxis|GO:0007186;G protein-coupled receptor signaling pathway|GO:0010818;T cell chemotaxis|GO:0030307;positive regulation of cell growth|GO:0030335;positive regulation of cell migration|GO:0030335;positive regulation of cell migration|GO:0034097;response to cytokine|GO:0034341;response to interferon-gamma|GO:0034612;response to tumor necrosis factor	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005886;plasma membrane|GO:0016020;membrane|GO:0016021;integral component of membrane	Process
SLPI	6590	GO:0003677;DNA binding|GO:0003729;mRNA binding|GO:0004866;endopeptidase inhibitor activity|GO:0004867;serine-type endopeptidase inhibitor activity|GO:0004867;serine-type endopeptidase inhibitor activity|GO:0005515;protein binding|GO:0019899;enzyme binding	GO:0006955;immune response|GO:0010951;negative regulation of endopeptidase activity|GO:0019731;antibacterial humoral response|GO:0019731;antibacterial humoral response|GO:0019731;antibacterial humoral response|GO:0032091;negative regulation of protein binding|GO:0032496;response to lipopolysaccharide|GO:0035821;modification of morphology or physiology of other organism|GO:0043312;neutrophil degranulation|GO:0045071;negative regulation of viral genome replication|GO:0045087;innate immune response|GO:0045087;innate immune response	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005794;Golgi apparatus|GO:0035580;specific granule lumen|GO:0062023;collagen-containing extracellular matrix|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Component
CXCL8	3576	GO:0005153;interleukin-8 receptor binding|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0045236;CXCR chemokine receptor binding	GO:0001525;angiogenesis|GO:0002237;response to molecule of bacterial origin|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007050;cell cycle arrest|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0008285;negative regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0019722;calcium-mediated signaling|GO:0030155;regulation of cell adhesion|GO:0030593;neutrophil chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0031623;receptor internalization|GO:0034976;response to endoplasmic reticulum stress|GO:0035556;intracellular signal transduction|GO:0036499;PERK-mediated unfolded protein response|GO:0042119;neutrophil activation|GO:0042119;neutrophil activation|GO:0044344;cellular response to fibroblast growth factor stimulus|GO:0045091;regulation of single stranded viral RNA replication via double stranded DNA intermediate|GO:0045744;negative regulation of G protein-coupled receptor signaling pathway|GO:0045766;positive regulation of angiogenesis|GO:0048566;embryonic digestive tract development|GO:0050930;induction of positive chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:0071222;cellular response to lipopolysaccharide|GO:0071347;cellular response to interleukin-1|GO:0071356;cellular response to tumor necrosis factor|GO:0090023;positive regulation of neutrophil chemotaxis|GO:2000535;regulation of entry of bacterium into host cell	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CXCL10	3627	GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0008603;cAMP-dependent protein kinase regulator activity|GO:0042056;chemoattractant activity|GO:0045236;CXCR chemokine receptor binding|GO:0048248;CXCR3 chemokine receptor binding	GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0007166;cell surface receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007189;adenylate cyclase-activating G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0007517;muscle organ development|GO:0008015;blood circulation|GO:0008284;positive regulation of cell proliferation|GO:0009409;response to cold|GO:0010332;response to gamma radiation|GO:0010818;T cell chemotaxis|GO:0010819;regulation of T cell chemotaxis|GO:0010996;response to auditory stimulus|GO:0016525;negative regulation of angiogenesis|GO:0019221;cytokine-mediated signaling pathway|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0033280;response to vitamin D|GO:0034605;cellular response to heat|GO:0042118;endothelial cell activation|GO:0042127;regulation of cell proliferation|GO:0042981;regulation of apoptotic process|GO:0045662;negative regulation of myoblast differentiation|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0050918;positive chemotaxis|GO:0051281;positive regulation of release of sequestered calcium ion into cytosol|GO:0051607;defense response to virus|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:0071222;cellular response to lipopolysaccharide|GO:0090026;positive regulation of monocyte chemotaxis|GO:1901509;regulation of endothelial tube morphogenesis|GO:1901740;negative regulation of myoblast fusion|GO:2000406;positive regulation of T cell migration|GO:2000479;regulation of cAMP-dependent protein kinase activity	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0009897;external side of plasma membrane	Process
CXCL9	4283	GO:0005125;cytokine activity|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0045236;CXCR chemokine receptor binding|GO:0048248;CXCR3 chemokine receptor binding	GO:0006935;chemotaxis|GO:0006952;defense response|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0006968;cellular defense response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007189;adenylate cyclase-activating G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0042127;regulation of cell proliferation|GO:0045663;positive regulation of myoblast differentiation|GO:0051281;positive regulation of release of sequestered calcium ion into cytosol|GO:0051607;defense response to virus|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:1901741;positive regulation of myoblast fusion	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0009897;external side of plasma membrane	Process
CXCL5	6374	GO:0008009;chemokine activity|GO:0042802;identical protein binding|GO:0045236;CXCR chemokine receptor binding	GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0008284;positive regulation of cell proliferation|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CXCL11	6373	GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0045236;CXCR chemokine receptor binding|GO:0048248;CXCR3 chemokine receptor binding	GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007189;adenylate cyclase-activating G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0010818;T cell chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0042127;regulation of cell proliferation|GO:0051281;positive regulation of release of sequestered calcium ion into cytosol|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CXCL6	6372	GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0045236;CXCR chemokine receptor binding	GO:0001776;leukocyte homeostasis|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0030593;neutrophil chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0032642;regulation of chemokine production|GO:0042119;neutrophil activation|GO:0042742;defense response to bacterium|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0070951;regulation of neutrophil mediated killing of gram-negative bacterium|GO:0071222;cellular response to lipopolysaccharide|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CXCL1	2919	GO:0005102;signaling receptor binding|GO:0008009;chemokine activity|GO:0008047;enzyme activator activity|GO:0008083;growth factor activity|GO:0045236;CXCR chemokine receptor binding	GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007399;nervous system development|GO:0008285;negative regulation of cell proliferation|GO:0019221;cytokine-mediated signaling pathway|GO:0030036;actin cytoskeleton organization|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0035556;intracellular signal transduction|GO:0043085;positive regulation of catalytic activity|GO:0043312;neutrophil degranulation|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0035580;specific granule lumen|GO:1904724;tertiary granule lumen	Component
CXCL12	6387	GO:0005102;signaling receptor binding|GO:0005178;integrin binding|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008083;growth factor activity|GO:0042379;chemokine receptor binding|GO:0045236;CXCR chemokine receptor binding|GO:0045236;CXCR chemokine receptor binding	GO:0001666;response to hypoxia|GO:0001764;neuron migration|GO:0001938;positive regulation of endothelial cell proliferation|GO:0006874;cellular calcium ion homeostasis|GO:0006935;chemotaxis|GO:0006952;defense response|GO:0006955;immune response|GO:0007155;cell adhesion|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007411;axon guidance|GO:0007411;axon guidance|GO:0008015;blood circulation|GO:0008064;regulation of actin polymerization or depolymerization|GO:0008344;adult locomotory behavior|GO:0009314;response to radiation|GO:0009408;response to heat|GO:0009615;response to virus|GO:0016032;viral process|GO:0022029;telencephalon cell migration|GO:0030335;positive regulation of cell migration|GO:0031100;animal organ regeneration|GO:0033603;positive regulation of dopamine secretion|GO:0033622;integrin activation|GO:0038146;chemokine (C-X-C motif) ligand 12 signaling pathway|GO:0043434;response to peptide hormone|GO:0045785;positive regulation of cell adhesion|GO:0048842;positive regulation of axon extension involved in axon guidance|GO:0050930;induction of positive chemotaxis|GO:0050965;detection of temperature stimulus involved in sensory perception of pain|GO:0050966;detection of mechanical stimulus involved in sensory perception of pain|GO:0060326;cell chemotaxis|GO:0060326;cell chemotaxis|GO:0070098;chemokine-mediated signaling pathway|GO:0070098;chemokine-mediated signaling pathway|GO:0090026;positive regulation of monocyte chemotaxis|GO:0090280;positive regulation of calcium ion import|GO:1902230;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage|GO:1903237;negative regulation of leukocyte tethering or rolling|GO:1990478;response to ultrasound|GO:1990869;cellular response to chemokine|GO:2000406;positive regulation of T cell migration|GO:2000669;negative regulation of dendritic cell apoptotic process	GO:0005576;extracellular region|GO:0005634;nucleus|GO:0005737;cytoplasm|GO:0009897;external side of plasma membrane|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Process
CXCL13	10563	GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0017134;fibroblast growth factor binding|GO:0017134;fibroblast growth factor binding|GO:0031724;CXCR5 chemokine receptor binding|GO:0031735;CCR10 chemokine receptor binding|GO:0045236;CXCR chemokine receptor binding|GO:0048018;receptor ligand activity|GO:0048248;CXCR3 chemokine receptor binding	GO:0002467;germinal center formation|GO:0002518;lymphocyte chemotaxis across high endothelial venule|GO:0002544;chronic inflammatory response|GO:0002920;regulation of humoral immune response|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0006955;immune response|GO:0007166;cell surface receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007204;positive regulation of cytosolic calcium ion concentration|GO:0007267;cell-cell signaling|GO:0010820;positive regulation of T cell chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0033625;positive regulation of integrin activation|GO:0033634;positive regulation of cell-cell adhesion mediated by integrin|GO:0035754;B cell chemotaxis|GO:0035768;endothelial cell chemotaxis to fibroblast growth factor|GO:0042742;defense response to bacterium|GO:0045765;regulation of angiogenesis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:0090630;activation of GTPase activity|GO:2000545;negative regulation of endothelial cell chemotaxis to fibroblast growth factor	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CXCL2	2920	GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0045236;CXCR chemokine receptor binding	GO:0002237;response to molecule of bacterial origin|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0019221;cytokine-mediated signaling pathway|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
PF4	5196	GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0045236;CXCR chemokine receptor binding|GO:0048248;CXCR3 chemokine receptor binding	GO:0002576;platelet degranulation|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007189;adenylate cyclase-activating G protein-coupled receptor signaling pathway|GO:0010628;positive regulation of gene expression|GO:0010744;positive regulation of macrophage derived foam cell differentiation|GO:0016525;negative regulation of angiogenesis|GO:0019221;cytokine-mediated signaling pathway|GO:0030168;platelet activation|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0032760;positive regulation of tumor necrosis factor production|GO:0042127;regulation of cell proliferation|GO:0042832;defense response to protozoan|GO:0045347;negative regulation of MHC class II biosynthetic process|GO:0045651;positive regulation of macrophage differentiation|GO:0045652;regulation of megakaryocyte differentiation|GO:0045653;negative regulation of megakaryocyte differentiation|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0051873;killing by host of symbiont cells|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide|GO:2001240;negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0020005;symbiont-containing vacuole membrane|GO:0030430;host cell cytoplasm|GO:0031093;platelet alpha granule lumen|GO:0062023;collagen-containing extracellular matrix	Process
XCL1	6375	GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0042379;chemokine receptor binding|GO:0042379;chemokine receptor binding|GO:0042803;protein homodimerization activity|GO:0048020;CCR chemokine receptor binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002548;monocyte chemotaxis|GO:0002690;positive regulation of leukocyte chemotaxis|GO:0002725;negative regulation of T cell cytokine production|GO:0002726;positive regulation of T cell cytokine production|GO:0002826;negative regulation of T-helper 1 type immune response|GO:0006954;inflammatory response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0009615;response to virus|GO:0010820;positive regulation of T cell chemotaxis|GO:0010820;positive regulation of T cell chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0032689;negative regulation of interferon-gamma production|GO:0032703;negative regulation of interleukin-2 production|GO:0032733;positive regulation of interleukin-10 production|GO:0035782;mature natural killer cell chemotaxis|GO:0043433;negative regulation of DNA-binding transcription factor activity|GO:0043547;positive regulation of GTPase activity|GO:0045892;negative regulation of transcription, DNA-templated|GO:0048247;lymphocyte chemotaxis|GO:0050727;regulation of inflammatory response|GO:0051209;release of sequestered calcium ion into cytosol|GO:0051281;positive regulation of release of sequestered calcium ion into cytosol|GO:0070098;chemokine-mediated signaling pathway|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0071346;cellular response to interferon-gamma|GO:0071347;cellular response to interleukin-1|GO:0071353;cellular response to interleukin-4|GO:0071356;cellular response to tumor necrosis factor|GO:0071560;cellular response to transforming growth factor beta stimulus|GO:0071636;positive regulation of transforming growth factor beta production|GO:0071663;positive regulation of granzyme B production|GO:0090023;positive regulation of neutrophil chemotaxis|GO:2000412;positive regulation of thymocyte migration|GO:2000503;positive regulation of natural killer cell chemotaxis|GO:2000513;positive regulation of granzyme A production|GO:2000518;negative regulation of T-helper 1 cell activation|GO:2000538;positive regulation of B cell chemotaxis|GO:2000553;positive regulation of T-helper 2 cell cytokine production|GO:2000556;positive regulation of T-helper 1 cell cytokine production|GO:2000558;positive regulation of immunoglobulin production in mucosal tissue|GO:2000562;negative regulation of CD4-positive, alpha-beta T cell proliferation|GO:2000563;positive regulation of CD4-positive, alpha-beta T cell proliferation|GO:2000566;positive regulation of CD8-positive, alpha-beta T cell proliferation	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space	Process
CXCL3	2921	GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0045236;CXCR chemokine receptor binding	GO:0006954;inflammatory response|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0030593;neutrophil chemotaxis|GO:0030593;neutrophil chemotaxis|GO:0030595;leukocyte chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space	Process
DEFB103B	55894	GO:0031731;CCR6 chemokine receptor binding|GO:0042056;chemoattractant activity	GO:0006935;chemotaxis|GO:0019730;antimicrobial humoral response|GO:0031640;killing of cells of other organism|GO:0042742;defense response to bacterium|GO:0042742;defense response to bacterium|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050918;positive chemotaxis|GO:0051873;killing by host of symbiont cells|GO:0060326;cell chemotaxis	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005796;Golgi lumen	Process
CCL13	6357	GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0048020;CCR chemokine receptor binding	GO:0002548;monocyte chemotaxis|GO:0006874;cellular calcium ion homeostasis|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0007010;cytoskeleton organization|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0008360;regulation of cell shape|GO:0030593;neutrophil chemotaxis|GO:0031640;killing of cells of other organism|GO:0043547;positive regulation of GTPase activity|GO:0048245;eosinophil chemotaxis|GO:0048245;eosinophil chemotaxis|GO:0048247;lymphocyte chemotaxis|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070098;chemokine-mediated signaling pathway|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0071346;cellular response to interferon-gamma|GO:0071347;cellular response to interleukin-1|GO:0071356;cellular response to tumor necrosis factor	GO:0005576;extracellular region|GO:0005615;extracellular space	Process
CCL1	6346	GO:0008009;chemokine activity|GO:0008009;chemokine activity|GO:0048020;CCR chemokine receptor binding	GO:0002548;monocyte chemotaxis|GO:0006874;cellular calcium ion homeostasis|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007204;positive regulation of cytosolic calcium ion concentration|GO:0016032;viral process|GO:0030593;neutrophil chemotaxis|GO:0043547;positive regulation of GTPase activity|GO:0048245;eosinophil chemotaxis|GO:0048247;lymphocyte chemotaxis|GO:0050729;positive regulation of inflammatory response|GO:0070098;chemokine-mediated signaling pathway|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0071346;cellular response to interferon-gamma|GO:0071347;cellular response to interleukin-1|GO:0071356;cellular response to tumor necrosis factor|GO:0090026;positive regulation of monocyte chemotaxis|GO:1905078;positive regulation of interleukin-17 secretion	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space	Process
DEFB1	1672	GO:0005515;protein binding|GO:0031731;CCR6 chemokine receptor binding|GO:0042802;identical protein binding	GO:0002227;innate immune response in mucosa|GO:0006935;chemotaxis|GO:0006955;immune response|GO:0007186;G protein-coupled receptor signaling pathway|GO:0009617;response to bacterium|GO:0009617;response to bacterium|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0019933;cAMP-mediated signaling|GO:0035584;calcium-mediated signaling using intracellular calcium source|GO:0042742;defense response to bacterium|GO:0045087;innate immune response|GO:0045087;innate immune response|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0060474;positive regulation of flagellated sperm motility involved in capacitation|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005796;Golgi lumen|GO:0019898;extrinsic component of membrane|GO:0070062;extracellular exosome|GO:0097225;sperm midpiece|GO:1990742;microvesicle	Component
CCL8	6355	GO:0004672;protein kinase activity|GO:0005515;protein binding|GO:0008009;chemokine activity|GO:0008201;heparin binding|GO:0016004;phospholipase activator activity|GO:0048020;CCR chemokine receptor binding	GO:0002548;monocyte chemotaxis|GO:0002687;positive regulation of leukocyte migration|GO:0006468;protein phosphorylation|GO:0006816;calcium ion transport|GO:0006874;cellular calcium ion homeostasis|GO:0006887;exocytosis|GO:0006935;chemotaxis|GO:0006954;inflammatory response|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0007267;cell-cell signaling|GO:0009615;response to virus|GO:0030593;neutrophil chemotaxis|GO:0043547;positive regulation of GTPase activity|GO:0044828;negative regulation by host of viral genome replication|GO:0048245;eosinophil chemotaxis|GO:0048247;lymphocyte chemotaxis|GO:0070098;chemokine-mediated signaling pathway|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0070664;negative regulation of leukocyte proliferation|GO:0071346;cellular response to interferon-gamma|GO:0071347;cellular response to interleukin-1|GO:0071356;cellular response to tumor necrosis factor	GO:0005615;extracellular space	Process
